
Arquivo                                                                                                     Linha Termo
-------                                                                                                     ----- -----
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\CONFIGURAR_SUPABASE.cmd                                     17 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\CONFIGURAR_SUPABASE.cmd                                     24 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               137 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               138 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             42 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             43 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\supabase-config-novos-talentos.js                            4 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\VERIFICAR_CONFIGURACAO.cmd                                  12 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\api\crm\debug\route.js                                   8 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\01_Core.gs                                     175 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\01_Core.gs                                     177 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\08_Supabase_Conversa_Completa_Dedup.gs         160 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\08_Supabase_Conversa_Completa_Dedup.gs         161 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                 19 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                513 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                515 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\lib\supabaseRest.js                                          5 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\lib\supabaseRest.js                                          6 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\MINHAS_CONFIGURACOES.ini.exemplo                      13 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          207 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          219 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\CONFIGURAR_TUDO.ps1                          251 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\VERIFICAR_STATUS.ps1                          44 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\VERIFICAR_STATUS.ps1                          74 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\setup\scripts\VERIFICAR_STATUS.ps1                          86 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                     43 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                     44 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                     45 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                     77 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                     78 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                     79 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    110 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    111 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    112 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    132 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    133 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    134 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    150 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    151 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    152 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    176 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    177 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\00_tabelas_base.sql                                    178 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\10_crm_operacoes_v21.sql                                34 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\10_crm_operacoes_v21.sql                                35 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\sql\10_crm_operacoes_v21.sql                                38 se...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\CONFIGURAR_SUPABASE.cmd                                     17 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\CONFIGURAR_SUPABASE.cmd                                     24 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\higienizar_github_rhimob.ps1                               138 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\LEIA-ME_HIGIENIZACAO_GITHUB.txt                             43 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\VERIFICAR_CONFIGURACAO.cmd                                  12 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\app\api\crm\debug\route.js                                   8 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\01_Core.gs                                     175 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\01_Core.gs                                     177 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\08_Supabase_Conversa_Completa_Dedup.gs         160 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\08_Supabase_Conversa_Completa_Dedup.gs         161 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                 19 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                513 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\apps_script\09_Supabase_Agenda_Lembretes.gs                515 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\lib\supabaseRest.js                                          5 SU...
C:\Users\Fernando\Documents\GitHub\rh_imob_sucesso\lib\supabaseRest.js                                          6 SU...
